YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MS	EQ_MAG_MB	INTENSITY	COUNTRY	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	MISSING	INJURIES	DAMAGE_MILLIONS_DOLLARS	HOUSES_DESTROYED	HOUSES_DAMAGED
1994	1	16	1	49	16.2	5	4.6		4.6	5	USA	"PENNSYLVANIA: READING, FELT TO CANADA"	40.33	-76.037	150						
1994	1	17	12	30	55.3	18	6.7	6.8	6.4	9	USA	CALIFORNIA:  NORTHRIDGE	34.213	-118.537	150	60		7000	40000	40000	
1994	1	21	2	24	29.9	20	7	7.2	6.2		INDONESIA	INDONESIA:  KAU	1.015	127.733	170	9		300			550
1994	2	3	9	5	4.2	8	5.8	5.5	5.4	7	USA	WYOMING:  AFTON	42.762	-110.976	150						
1994	2	5	23	34	9.9	14	6.2	6	5.8		UGANDA	"UGANDA:  FORT PORTAL, KASESE; ZAMBIA"	0.593	30.037	10	7			70		
1994	2	15	17	7	43.8	23	6.9	7	5.9		INDONESIA	"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG"	-4.967	104.302	170	207		2000	170.476	6000	
1994	2	23	8	2	4.7	6	6.1	6.1	6.1		IRAN	IRAN:  SISTAN	30.853	60.596	140	6			1.4		
1994	3	1	3	49	0.8	13	6.1	6	5.8		IRAN	IRAN:  SOUTHERN:  FIRUZABAD	29.096	52.617	140	2		50			
1994	3	2	3	38	3.8	59	5.4	5	5.2		HAITI	HAITI: SAINT-LOUIS DU NORD	19.803	-72.799	90	4					
1994	3	9	23	28	6.7	563	7.6		6.6		FIJI	FIJI ISLANDS	-18.039	-178.413	170						
1994	5	1	12	0	35.7	19	6.1	6.3	6	6	AFGHANISTAN	"AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ"	36.901	67.163	40	160					
1994	6	2	18	17	34	18	7.8	7.2	5.7		INDONESIA	INDONESIA:  JAVA	-10.477	112.835	170						
1994	6	5	1	9	30.1	11	6.4	6.6	6.1		TAIWAN	"TAIWAN:  CHI-LUNG, I-LAN, TAIPEI, NAN-AO"	24.511	121.905	30	1		2			
1994	6	6	20	47	40.5	12	6.8	6.6	6.4		COLOMBIA	"COLOMBIA:  CAUCA, HUILA"	2.917	-76.057	160	650			2.4	200	
1994	6	9	0	33	16.2	631	8.2		7		BOLIVIA	"BOLIVIA-PERU: AREQUIPA, FELT IN N AND S AMERICA"	-13.841	-67.553	160	5					
1994	6	18	3	25	15.8	14	6.8	7.1	6.2	6	NEW ZEALAND	NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH	-42.963	171.658	170						
1994	6	20	9	9	2.9	9	5.9	5.7	5.9		IRAN	"IRAN:  FIRUZABAD, SHIRAZ"	28.968	52.614	140	3		100			
1994	8	18	1	13	5.7	9	5.9	5.9	5.7		ALGERIA	ALGERIA:  MASCARA	35.52	-0.106	15	171					
1994	10	4	13	22	55.8	14	8.3	8.1	7.3	9	RUSSIA	RUSSIA:  KURIL ISLANDS; JAPAN:  HOKKAIDO	43.773	147.321	50	11		382			
1994	10	8	21	44	7.2	17	6.8	6.8	6.4		INDONESIA	INDONESIA:  HALMAHERA	-1.258	127.98	170	1		52			500
1994	11	14	19	15	30.6	32	7.1	7.1	6.1		PHILIPPINES	PHILIPPINES:  MINDORO	13.525	121.067	170	81		225	3.7	797	3288
1994	12	26	14	10	29.1	23	5.5	5	5.1	7	USA	"CALIFORNIA:  EUREKA, SAMOA, ARCATA, BLUE LAKE"	40.741	-124.31	150				2.1		
1994	12	28	12	19	23	27	7.8	7.5	6.4	9	JAPAN	JAPAN:  HONSHU	40.525	143.419	30	3		200	170.4		
1994	12	31	2	57	20.8	33	5.3	5.3	5.7		CHINA	"CHINA:  GUANGXI PROVINCE, GUANDONG PROVINCE"	20.524	109.33	30			360		1100	
1995	1	16	20	46	52.1	22	6.9	6.8	6.3	11	JAPAN	"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA"	34.583	135.018	30	5502		36896	100000	200000	
1995	1	19	15	5	3.4	17	6.5	6.6	6.3		COLOMBIA	"COLOMBIA:  BOGOTA, MANIZALES, MIRAFLORES"	5.05	-72.916	160	7				512	20
1995	2	5	22	51	5.1	21	7.1	7.5	6.5		NEW ZEALAND	NEW ZEALAND:  NORTH ISLAND; S ISLAND:  CHRISTCHURCH	-37.759	178.752	170						
1995	2	8	18	40	25.3	74	6.4		6.3		COLOMBIA	"COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA"	4.104	-76.622	160	45		400	50	2000	
1995	2	23	21	3	1.3	10	5.9	5.7	5.8	7	CYPRUS	"CYPRUS:  PAPHOS, NICOSIA, ARODHES, PERISTERONA"	35.046	32.279	130	2		5	4.34	70	570
1995	4	1	3	49	33.5	11	5.4	4.9	5.8		JAPAN	"JAPAN:  NIIGATA PREFECTURE, SADO"	37.925	139.186	30						
1995	4	7	22	6	56.8	21	7.4	8	6.8		SAMOA	SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE	-15.199	-173.529	170						
1995	5	13	8	47	12.7	14	6.6	6.6	6.2	8	GREECE	"GREECE:  GREVENA-KOZANI, THESSALONIKI, YUGOSLAVIA"	40.149	21.695	130			25	450	12000	
1995	5	14	11	33	21.1	13	6.9	6.9	6.2	7	INDONESIA	"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA"	-8.452	125.049	170						
1995	5	16	20	12	44.2	20	7.7	7.7	6.9	3	NEW CALEDONIA	NEW CALEDONIA:  NOUMEA; VANUATU:  PORT-VILA	-23.008	169.9	170						
1995	5	27	13	3	52.6	11	7.1	7.1	6.7	9	RUSSIA	"RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO"	52.629	142.827	50	1989		750	300		
1995	6	15	0	15	48.7	14	6.5	6.5	6.1	7	GREECE	"GREECE:  AIYION, ERATINI"	38.401	22.283	130	26		60	660		
1995	7	11	21	46	39.7	13	6.8	7.1	6.1		CHINA	"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND"	21.966	99.196	30	11		136	36.1	100000	100000
